%Aromatic,%Negative,%positive,%hydro,%cys,Pi,Weight,size,charge,salt,cysteine,Abundance,Enrichment
5.813953488,10.46511628,20.93023256,29.06976744,0,9.75,9833.78,10,0,0,0,-4.755274725,1.39E+00
6.832298137,20.49689441,22.98136646,29.19254658,1.242236025,5.74,18989.23,10,0,0,0,-5.137447644,1.41E+00
2.780867631,22.46941046,18.46496107,30.92324805,0,4.95,103023.38,10,0,0,0,-6.922616066,1.41E+00
4.060913706,25.38071066,21.15059222,29.10321489,0,5.03,68653.81,10,0,0,0,-6.048721443,1.42E+00
2.621722846,16.85393258,12.7340824,35.95505618,0.74906367,4.82,29960.2,10,0,0,0,-4.604840039,1.43E+00
3.191489362,15.22094926,14.97545008,40.91653028,0.327332242,5.64,134809.63,10,0,0,0,-6.088294711,1.43E+00
4,10.4,12.8,35.2,6.4,8.1,13660.56,10,0,0,0,#N/A,1.46E+00
3.837953092,11.72707889,14.92537313,44.34968017,1.066098081,6.98,52218.46,10,0,0,0,-6.510525172,1.46E+00
4.517133956,15.57632399,13.08411215,42.83489097,0.46728972,4.99,69526.06,10,0,0,0,-5.677274178,1.47E+00
4.430379747,13.29113924,17.08860759,46.20253165,1.265822785,6.44,17679.56,10,0,0,0,-5.106955744,1.48E+00
6.25,10.22727273,13.06818182,44.60227273,0,9.02,37590.04,10,0,0,0,#N/A,1.48E+00
3.752039152,11.58238173,10.76672104,29.36378467,0.326264274,5.32,71807.36,10,0,0,0,-6.501874067,1.48E+00
0.757575758,6.060606061,18.18181818,52.27272727,0,10.67,13857.97,10,0,0,0,#N/A,1.48E+00
4.022988506,14.94252874,17.81609195,35.63218391,0,8.92,19678.41,10,0,0,0,#N/A,1.49E+00
7.762557078,11.41552511,12.78538813,37.89954338,0.913242009,6.07,24357.32,10,0,0,0,-6.179796444,1.51E+00
2.564102564,14.65201465,19.41391941,33.6996337,0,9.66,29863.76,10,0,0,0,-5.119167775,1.54E+00
4.538341158,15.80594679,12.98904538,42.72300469,0.469483568,4.94,69338.81,10,0,0,0,-5.101113177,1.57E+00
8.421052632,7.719298246,9.122807018,49.64912281,1.929824561,7.89,62705.05,10,0,0,0,-5.993167193,1.60E+00
4.473304473,17.02741703,14.86291486,40.54834055,0.721500722,5.12,77235.23,10,0,0,0,-5.871737516,1.62E+00
3.539823009,13.27433628,23.89380531,44.24778761,0,9.99,12821.92,10,0,0,0,-5.559611405,1.64E+00
